Title,Description,Status,Priority,Labels,Estimate,Project
"Daily check-ins: schema, service, and UI","## Context
Phase 1 gap. Check-ins are the primary growth ritual; `internal/checkins` is a stub (`doc.go` only). Without them North is chat + goals, not a personal growth loop.

## Scope
- Migration: `check_ins` table (`user_id`, mood, energy, wins, challenges, notes, `related_goal_id` nullable, timestamps)
- `internal/checkins/`: repository, service, handler
- `web/` HTMX list + create form using templUI
- User-scoped queries only

## Out of scope
- ContextSource wiring (separate ticket)
- Push notifications

## Acceptance
- [ ] Authenticated user can create a check-in (mood, energy, wins, challenges, notes)
- [ ] User can list own check-in history (newest first)
- [ ] Multi-tenant isolation on all queries
- [ ] Service tests for create/list and ownership

## Architecture
- Vertical slice under `internal/checkins/`
- No business logic in handlers
- Prefer HTMX partials + templUI components",Backlog,Urgent,"phase-1-gap, growth-loop, must-ship",5,North — Feature-ready OS
Check-in ContextSource for CoachService,"## Context
Coach must *use* reflections. ContextBuilder already supports `ContextSource` and `Context.CheckIns []string`.

## Scope
- Implement `checkins.ContextSource` collecting recent check-ins (e.g. last 7–14 days)
- Register source in web/worker wiring
- Prompt already renders absence; ensure non-empty formatting is readable

## Depends on
- Daily check-ins schema/service/UI

## Acceptance
- [ ] Recent check-ins appear in coach context when data exists
- [ ] Source failure degrades gracefully (does not fail the whole reply)
- [ ] Coach replies can reference yesterday’s mood/energy when present (manual or eval smoke)

## Architecture
- Implement `coach.ContextSource` only; do not edit builder core unless needed",Backlog,Urgent,"phase-1-gap, growth-loop, coach, must-ship",2,North — Feature-ready OS
"Guided check-in flow (HTMX, mobile-first)","## Context
Empty free-text check-ins die. A 30–60s structured flow drives retention.

## Scope
- Multi-step or single-page guided form: mood → energy → wins → challenges → notes
- HTMX partials; works one-handed on phone
- templUI form controls; no SPA framework

## Depends on
- Daily check-ins schema/service/UI

## Acceptance
- [ ] User completes a check-in in under ~60 seconds on mobile viewport
- [ ] Validation errors render inline
- [ ] Success returns to dashboard or history with clear confirmation

## Architecture
- Presentation only on top of existing check-in service",Backlog,High,"phase-1-gap, growth-loop, ui, must-ship",3,North — Feature-ready OS
Goal milestones and progress updates,"## Context
Goals without progress feel dead. Goals CRUD exists; milestones/progress need first-class support.

## Scope
- Schema: milestones and/or progress fields on goals
- Service methods + UI on goal detail
- Timeline of progress updates

## Acceptance
- [ ] User can add/edit/complete milestones on a goal
- [ ] Progress status or % is visible on goal list/detail
- [ ] User isolation + service tests

## Architecture
- Extend `internal/goals/` slice; keep handlers thin",Backlog,High,"phase-1-gap, growth-loop, goals, should-ship",5,North — Feature-ready OS
Link check-ins to related goals,"## Context
Accountability loop: reflections should optionally attach to a goal so context groups by goal.

## Scope
- Optional `related_goal_id` on check-in (if not already in A1)
- UI: goal picker on create
- ContextSource groups or labels reflections by goal title

## Depends on
- Check-ins schema + ContextSource

## Acceptance
- [ ] User can attach a check-in to an active goal
- [ ] Coach context shows goal association when set
- [ ] Detached check-ins still work

## Architecture
- FK to goals; validate ownership of goal_id",Backlog,High,"phase-1-gap, growth-loop, must-ship",2,North — Feature-ready OS
Long-term memory store (profile facts),"## Context
README promises persistent memory. Today coach has conversation tail + goals/workouts, not durable profile facts (preferences, coaching style, recurring habits).

## Scope
- Migration: `user_memories` (user_id, key/category, content, pinned, source, timestamps, soft-delete)
- `internal/` slice or under users: CRUD service + simple settings UI list/edit/delete
- Never log secrets

## Acceptance
- [ ] User can view/edit/delete own memories
- [ ] Pin/exclude supported
- [ ] Isolation + service tests

## Architecture
- Domain independent of AI provider; coach reads via ContextSource in follow-up ticket",Backlog,Urgent,"phase-1-gap, memory, must-ship",5,North — Feature-ready OS
Memory extraction job after conversations,"## Context
Agentic memory: durable facts should be proposed from conversations, not only manual entry.

## Scope
- Worker job: after N messages or conversation idle, extract candidate facts via AI
- Store as unconfirmed or draft memories for user review
- Prompt in `internal/ai/prompts/`

## Depends on
- Long-term memory store

## Acceptance
- [ ] Job enqueues and writes candidate memories
- [ ] User can approve/edit/discard candidates
- [ ] Failures are logged; no silent data loss

## Architecture
- Jobs via existing `internal/jobs` worker; no AI in handlers",Backlog,High,"memory, agentic, must-ship",5,North — Feature-ready OS
Memory ContextSource and prompt policy,"## Context
Memory must be bounded and trustworthy in the system prompt.

## Scope
- ContextSource that loads pinned + recent approved memories
- Render as short bullets; hard cap (token/char budget)
- Prompt policy: coach treats memory as known facts, admits gaps

## Depends on
- Long-term memory store

## Acceptance
- [ ] Memories appear in context when present
- [ ] Empty memory is silent/graceful
- [ ] Source failure does not fail coach reply

## Architecture
- Follow goals ContextSource pattern",Backlog,Urgent,"memory, coach, must-ship",2,North — Feature-ready OS
Onboarding: first-run goals and coaching style,"## Context
Cold start kills OS feel. After signup, seed goals, memory, and first conversation.

## Scope
- First-run flow (3 questions): focus areas, coaching style, one near-term goal
- Creates goal(s) + initial memory facts
- Optional first coach conversation with seeded context
- Skip path available

## Depends on
- Goals + memory store

## Acceptance
- [ ] New user hits onboarding once
- [ ] Completing seeds usable coach context
- [ ] Returning users never re-see forced onboarding

## Architecture
- SSR/HTMX; state on user profile flag",Backlog,High,"growth-loop, activation, must-ship",5,North — Feature-ready OS
Dashboard as today’s OS home,"## Context
Dashboard should orient the day: check-in CTA, active goals, last coach thread, next workout if any.

## Scope
- Expand `web/app/dashboard.templ` (or equivalent)
- Server-composed sections from services
- Empty states with clear CTAs

## Depends on
- Check-ins (for CTA)

## Acceptance
- [ ] Authenticated `/` or dashboard shows today’s next actions
- [ ] Links to check-in, goals, last conversation work
- [ ] Mobile layout usable

## Architecture
- Thin handler; aggregate in a small dashboard service or parallel service calls",Backlog,High,"ui, activation, must-ship",3,North — Feature-ready OS
